mood,location,latitude,longitude
Positive,,,
Negative,,,
Positive,United States of America,37.7884969,-122.3558473
Negative,Thailand,12.9181511,100.92588136949392
Positive,United States,39.7837304,-100.4458825
Negative,United Kingdom,53.4794892,-2.2451148
Negative,United States of America,37.7790262,-122.4199061
Positive,,,
Positive,Argentina,-34.9964963,-64.9672817
Positive,Nigeria,5.783333,6.1
Negative,,,
Positive,,,
Positive,,,
Negative,,,
Positive,Japan,35.6828387,139.7594549
Negative,,,
Positive,Japan,35.5425627,139.4515503
Negative,United States of America,40.0826096,-88.2027183
Positive,China,22.3700565,114.119989
Positive,United States of America,33.8455911,-118.3886766
Positive,Nepal,28.1083929,84.0917139
Positive,,,
Negative,,,
Negative,,,
Positive,,,
Negative,,,
Positive,,,
Negative,United Kingdom,52.3057655,-1.9417444
Positive,,,
Positive,United States of America,30.2711286,-97.7436995
Positive,United States of America,33.7500378,-117.8704931
Positive,Canada,43.466874,-80.524635
Positive,,,
Positive,Japan,35.7721606,139.68855098846433
Positive,United States of America,40.6501038,-73.9495823
Positive,Belgium,50.6402809,4.6667145
Negative,,,
Positive,,,
Positive,Greece,40.6403167,22.9352716
Negative,United States of America,35.996653,-78.9018053
Negative,,,
Negative,India,22.3511148,78.6677428
Negative,,,
Positive,United States of America,33.8455911,-118.3886766
Negative,United States of America,43.6166163,-116.200886
Positive,United States of America,38.628683,-92.5659635
Positive,United Kingdom,51.7520131,-1.2578499
Negative,,,
Positive,,,
Negative,,,
Negative,,,
Positive,Mexico,32.5010188,-116.9646629
Positive,United States of America,30.2711286,-97.7436995
